sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
Wanda hudang tina saré,Vanda ngadéngé sora alarm tina jam alarm na,Vanda émut kana usaha anu ngantosan anjeunna ayeuna,Vanda kedah ngiringan seminar anu diayakeun online,Vanda langsung gugah tina ranjang sareng siap-siap,Vanda tiasa bersantai dinten ieu,su
Zordon nyaéta prajurit musuh,Anjeunna pohara kuat,Zordon geus pernah dielehkeun ku saha,"Nepi ka hiji poé, Jaka Tingkir datang",Maranéhna tarung jeung Jaka meunang perang,"Jaka Tingkir babaturan Zordon, jajaka di kampung sebelah",su
Indonésia ngalaksanakeun prakték ékspor-impor,Indonesia teu bisa nyadiakeun komoditi dasar pikeun rahayatna,Indonesia ngimpor komoditi dasar ti nagara séjén,Indonésia ngalaman kagagalan panén paré dina usum halodo ieu,Indonésia ngimpor béas ti nagara tatangga,Indonésia ngahasilkeun kadaharan ti nagarana sorangan,su
Ivana jeung Fani indit ka puseur balanja,Tatanggana ngajak Fani jeung Ivana kana mobil,Tatangga nyaéta Ivana jeung babaturan Fani,Tatangga teu bisa marengan Ivana jeung Vani balanja,Vani jeung Ivana indit ka puseur balanjaan kana motor,Ivana jeung Fani balanja jeung Jiran,su
Pertiwi ninggalkeun kartu nama,Tono manggihan kartu nama Pertiwi,Tono ngahubungi Pertiwi,Ibu Pertiwi ngadamel rapat kanggo duaan,Tono kenal ka Pertiwi nalika pendak,Tono teu hayang nepungan Pertiwi,su
Barney mangrupikeun dinosaurus tina imajinasi urang.,"Fragmen kalimah ieu asalna tina lagu tema kartun karesep Deana, Barney.",Deana resep ningali kartun Barney.,Anjeunna ngapalkeun sadaya lagu.,"Unggal waktos kartun Barney sumping dina TV, Deana bakal nyanyi babarengan bungah pikeun lagu na.","Unggal waktos kartun Barney sumping dina TV, Deana bakal pindah ka nonton Dora.",su
"""Halo, tadi kamana?"" Ceuk Tika pas ngangkat telepon.","""Hapunten Tik, abdi aya anu kedah dilakukeun,"" walon batur dina tungtung telepon.",Tika jempé ngadéngé éta.,"Anjeunna kuciwa, sabab sigana Ary geus mimiti nyumputkeun hal.","Tanpa nanya deui, Tika langsung mareuman telepon teu merhatikeun deui pesen ti Ary.",Tika ngalepaskeun leungeun Ary indit naek taksi.,su
Aruna boga tumor terminal,Aruna teu boga harepan hirup,Dokter ngajak Aruna dioperasi,Aruna ngan hayang mungkas hirupna,Aruna nampik dioperasi pikeun ngaleungitkeun tumor,Aruna cageur tina tumor anu dideritana,su
Ening téh kembang désa,Manehna boga beungeut geulis,Sikepna ramah,Sorana ogé lemes dina nyarita,Ening teh idola di kampungna,"Minggu hareup, Ening rék ka dayeuh jadi kembang dayeuh",su
"Bel istirahat disada, kabéh murid buru-buru kaluar ti kelas, nuju kopsis (koperasi siswa) kaluar siga nu karék leupas tina beungkeutan palang beusi, kitu deui babaturan sakelas.","Kuring langsung manteng jeung ngaluarkeun komik karesep kuring, Detektif Conan.","Abdi bogoh komik, naon genre.",Aya kitu loba lalaki anu ngaku pencinta komik ngan pikeun meunangkeun haté kuring.,Tapi aranjeunna moal tiasa nipu kuring sabab kuring parantos ngartos strategina.,Abdi ngagaleuh komik di salah sahiji toko buku anu caket sareng sakola abdi.,su
Hani teu resep kana bau minyak kayu putih,"Lamun ngambeu minyak kayu putih, manéhna langsung ngarasa seueul",Sirahna ogé langsung lieur,"Ku alatan éta, Hani pernah ngagunakeun minyak kayu putih",Anjeunna langkung resep ngagunakeun minyak telon,Hani resep nginum minyak kayu putih,su
Hani resep pisan ngadahar kurupuk,"Unggal dahar, pasti aya kurupuk dina piring",Kurupuk karesepna nyaéta kurupuk udang,Malah jajanan karesep Hani nyaéta kurupuk,"Tanpa kurupuk, Hani ngarasa kadaharanana teu ngeunah","Mun teu aya kurupuk, Hani bakal kakurangan gizi",su
Ayeuna loba kajahatan di jalan,"Boh di jalan umum, angkot, komo di tempat nu loba jelema",Kajahatan anu sumebar di mana-mana ngajadikeun jalma-jalma kedah langkung waspada,"Ku alatan éta, Mina diajar bela diri","Salian ti alus keur kaséhatan, Mina hayang bisa ngajaga dirina tina kajahatan",Manéhna hayang jadi pulisi pikeun ngabasmi kajahatan,su
Marina geus sababaraha poé teu nempo Karina,Sahabatna henteu sakola salami tilu dinten,Wali kelasna ogé teu meunang béja ti Karina,Marina mutuskeun pikeun didatangan Karina sanggeus sakola,Anjeunna hariwang kana kaayaan baturna,Marina hayang nagih hutang ti Karina,su
Melisa geus nyerah dina maké heels tinggi,Manehna teu biasa maké heels tinggi,"Sanajan kitu, anjeunna embarrassed mun maké sapatu biasa",Babaturanana kabéh datang ka wisuda maké heels tinggi,"Hasilna, anjeunna janten sesah leumpang sareng sukuna nyeri",Sapatu keuneung tinggi biasana dianggo ku awéwé,su
Sadaya murid kedah nganggo pakean anu rapih sareng lengkep,Isyah poho make dasi jeung sabuk,Isyah panik jeung hariwang,Jerom nginjeumkeun dasi jeung sabukna nu séjén,Isyah teu dihukum ku guru,Isyah dangdanan rapih,su
Seuri nyikikik Ofira kadéngé nepi ka korsi Amani.,Amani baralik panasaran.,Sirah Ofira murag kana méja.,Amani ngaléngkah ka sisi Ofira pikeun ningali naon anu ngajadikeun Ofira seuri.,Tétéla Ofira keur maca komik.,Tétéla Ofira keur saré.,su
Risa resep pisan kana kopi,Ian masihan Risa sacangkir kopi,Risa diuk gigireun Ian,Risa tuang Ian sacangkir kopi,Risa jeung Ian ngarasakeun kopi babarengan,Ian keur di luar kota keur urusan,su
"Soré éta, urang nyandak tindakan deui.",Jelajahi unggal bagian pasar pikeun nyisiran barang anu tinggaleun ku padagang.,"""Babaturan, tingali, aya sapatu anu saé,"" ujug-ujug salah saurang réréncangan kuring ngagorowok.","""Wah... merekna can dicabut. Kamana atuh ieu teh?"" tanya salah saurang babaturan kuring deui.","""Barangkeun ka satpam pasar, dipulangkeun deui ka tukang dagang.""","""Ieu mah. awas ka sadayana!"" Ceuk Dana dina sora ambek.",su
Guru matematika mah disebutna Bu Susan,Anjeunna mangrupikeun jalma anu pinter sareng bageur,Anjeunna lulusan Harvard,Tapi anjeunna hoyong ngajar di SD kampung urang,Sadaya murid resep anjeunna,Bu Susan teh indung anak kuring,su
Alana resep pisan nulis sajak,Alana sok nyerat ngeunaan kahariwangna dina puisi,Alana ngarti loba hal anu teu bisa ngarti ku batur,Dio sok ngarti kana maksud puisi Alana,Dio sok ngajurung Alana pikeun digawé,Teu aya nu ngarti kana maksud puisi Alana,su
Upami anjeun kantos ngalakukeun kasalahan,Bina ngarasa karunya pisan,Jiray nyaah pisan ka Bila,Lamun teu kungsi ulin jeung Jiray deui,Lamun nyieun kasalahan ngalawan Jiray,Jiray sok jeung Bila,su
Taipei hoyong masak sangu,Henteu aya suplai béas di imah Taipei,Taipei indit ka supermarket,Taipei meuli karung béas,Taipei tiasa masak béas tina béas anu dibeuli di supermarkét,Taipei teu tiasa tuang sangu,su
Alice ngawasaan silat,Alice bisa ngajaga dirina,Alice dirampok ku copet,Alice ngéléhkeun copet,Alice meunang barang-barangna deui,Alice ngajerit sieun,su
Farel buru-buru ngumpulkeun tanaga,Kabéh elemen aya digabungkeun,Farel sorangan mingpin konsolidasi,Kabéh elemen kudu geuwat rebel,Farel teu bisa cicingeun ku kakerasan patih,Farel teu bisa barontak,su
Kahlil meunang surat cinta ti kelas SMPna,Kahlil ogé cicingeun bogoh ka budak sakelasna,Babaturan Kahlil ngasongkeun suratna,Kahlil satuju kana usul baturna,Kahlil nulis surat balesan ka kelas SMPna,Kahlil hate meunang surat cinta,su
Kiara resep nyieun carita ngeunaan kahirupan,Kiara mindeng nyieun carita ngeunaan dirina,Kiara geus medalkeun 5 novel,Sakabéh gagasan carita Kiara asalna tina lalampahan hirupna,Novel anu ditulis Kiara diadaptasi tina carita dirina sorangan,Kiara medalkeun kamus énsiklopédia,su
Ariana mah pinter masak rupa-rupa kadaharan.,"Tapi aya hiji hal anu anjeunna henteu tiasa masak, nyaéta pasta.",Ariana hayang bisa masak pasta ogé manéhna bisa masak kadaharan séjén.,Éta naon anjeunna di dieu pikeun ayeuna.,"Ariana diuk dina korsi di kamar badag, ngadengekeun batur di hareup anu ngajelaskeun teknis ngalaksanakeun kursus masak pasta.","Ariana diuk di ruang tunggu salon, nungguan giliran cukuran.",su
Panon Valdi gaduh minus anu luhur pisan.,Éta sababna Valdi sok diuk di hareup kelas.,Tulisan dina papan tulis moal katingali ku Valdi upami anjeunna linggih di tukang.,"Untungna, jangkungna Valdi ukur jangkungna rata-rata jadi teu nutupan tulisan dina papan tulis.","Jadi euweuh barudak nu protes sanajan Valdi sok diuk di hareup, maranéhanana ngarti.",Jadi Valdi milih teu datang ka sakola.,su
Bapa ngajak Eka meuli karcis,Bapa terang ka supir karéta api anu badé naék,Éka ningali bapana nu keur ngadongéng,Bapa nepangkeun Eka ka tukang mesin,Eka resep panggih jeung jalma anyar,Éka teu daék indit jeung bapa,su
Lanceuk meuli lampu warna-warni,Adina mah hayang boga barang ieu,Lanceukna ngajak ka lanceuk meuli,Lanceukna meuli adina lampu sarua,Lanceuk nyaah pisan ka adina,Lanceuk hate adina nu sok nuturkeun manéhna,su
Omongan indung siga parentah ratu ka Ojan.,Ojan bakal nurut kana sagala omongan Ema.,Ema teu kungsi maksa Ojan.,Ojan sorangan teu kungsi hayang ngalawan Indung.,"Sakur nu diomongkeun ku Ema, si Ojan sok ngajawab enya.","Sakur nu diomongkeun ku Ema, Ojan teu paduli.",su
Atlétik mangrupikeun ekstrakurikuler énggal di sakola Rissa.,"Rissa resep lumpat, janten anjeunna mutuskeun pikeun ngiringan ekstrakurikuler atlit.",Kagiatan olah raga ekstrakurikuler munggaran bakal dilaksanakeun engké saatos sakola.,"Pas bel sakola disada, Rissa langsung leumpang ka lapang sakola.","Di dinya, sababaraha anggota kelompok ekstrakurikuler atlétik parantos ngariung anu siap pikeun ngamimitian latihan.","Di dinya, anggota ekstrakurikuler baskét geus ngumpul anu siap pikeun ngamimitian latihan.",su
Kanya hayang boga lomari anyar,Kanya indit ka tukang kayu pikeun minuhan kahayang na,Kanya masihan desain impianna ka salah sahiji pagawé,Kanya ngagaduhan papakéan impianna 2 bulan saatosna,Tukang kayu bisa ngawujudkeun kahayang Kanya,Kanya nyieun lomari kayu sorangan pikeun nyocogkeun kahayangna,su
Chiko bakal naék motor,Chiko poho make helm,Pengendara motor anu henteu nganggo helm bakal ditikétkeun,Pulisi jaga di sapanjang jalan anu ngaliwat ka Chiko,Chiko ditikétan teu maké helm,Chiko nitip tikétna,su
Mamat mah teu resep cicing di imah pamanna,Imah pamanna jauh ti kota,Imah mangrupa imah gaya Walanda heubeul,Anu paling dipikaresep ku Mamat nyaéta kurangna cahaya,"Wanci peuting, imah pamanna jadi pikasieuneun pisan",Mamat kapaksa ngahuru api unggun supaya imahna caang,su
Nazifa resep pisan ka pelangi,Katumbiri bakal muncul saatos hujan,Nazifa bakal ngadagoan hujan réngsé,Nazifa henteu ningali katumbiri dinten éta,Poé éta henteu hujan,Nazifa henteu kantos ningali katumbiri,su
Teuas haté bakal léah ku lelembutan,Karina sok méré lelembutan ka jalma-jalma nu panggih,Loba jalma kawas Karina,Karina teu ngarasa reueus,Karian salawasna ramah ka dulur,Karina teu resep nepungan batur,su
Rusi diajak ku indungna ka salon,Rusi menta perawatan buuk di salon,Buuk Rusi beuki anteng,Rusi ogé ménta diubaran pikeun beungeutna,Beungeut Rusi beuki seger,Rusi leuwih resep saré di imah,su
Wafda ngagaleuh sapu korma anu dititipkeun ku indungna di pasar.,"Manéhna ogé meuli sapu, sapu sapu jeung pistol.",Basa rék ngaganti parabot beberesih di imah nu geus teu cocog deui dipaké.,Wafda mawa barang anu dititipkeun ku Ema kana motor.,"Sanajan mimitina rada hese alatan lobana barang-barang, Wafda junun balik ka imah kalawan salamet.","Sanajan aya kasusah, Wafda junun ngagaleuh motor kalayan harga anu murah.",su
Fadila geus manggihan dosen anu dianggapna alus,Dosén Fadila diganti ku dosen séjén,Fadila hariwang kana cara ngajar dosen,Fadila terus ikhtiar,Fadila bajoang pikeun meunangkeun peunteun pangalusna dina ieu kursus,Fadila janten males nyandak kursus ieu,su
“Katingalina bagja” ujug-ujug nyarita deui sanggeus sababaraha menit ngan kadéngé sora ombak.,"""Maksudna kuring katingali gendut ayeuna?!"" Nyaan, kuring ngan pura-pura ambek.","""Haha lain kitu, tapi maneh bagja kan?"" Kuring jempé sakedapan, mikir, kudu ngajawab naon.","""Hmm hehehehe.. Abdi.. senang.."" Kuring tungtungna ngajawab.","“Muhun, sigana mah kitu” naon waé nu dimaksad manéhna, seuri lega sanggeus ngadéngé jawaban kuring.",Anjeunna narik leungeun kuring meuntas walungan.,su
Poé anu paling dipikaresep pikeun ditilik,Anjeunna gampang pisan amused lamun tickled,"Mun aya nu nyikikik, Hari bakal seuri","Sakali anjeun seuri, éta hésé eureun","Ku alatan éta, Hari mindeng ngambek lamun aya nu nyitak manéhna",Hari anak bageur pisan,su
Vika hanjelu lantaran gagal asup ka paguron luhur nu dipikahayang.,Sababaraha dinten kapengker Vika ngonci di kamarna.,Ema sareng Bapa hariwang kana kaayaan Vika.,"Bapa ogé berinisiatif ménta Vika misan pangdeukeutna, Maudy, cicing di imah sangkan bisa marengan Vika.",Maudy langsung ngomong bakal balik ayeuna pas bapana ngahubungan anjeunna ku telepon.,Maudy nyarios yén anjeunna badé ngalamar ka universitas anu dipikahoyong ku Vika.,su
Yoora leuwih resep hirup sorangan,Yoora bakal ambek lamun aya nu ngaganggu hirupna,Yoora teu boga babaturan,Yoora bisa ngajaga dirina,Yoora dihianat sareng ngajantenkeun anjeunna henteu percanten deui ka jalma sanés,Yoora nyaéta awéwé lemah anu gumantung ka jalma séjén,su
Hima bosen pisan ku les,"Salila saminggu, jadwalna pinuh ku les","Poé Senén, Rebo jeung Jumaah manéhna aya palajaran basa",Dina Salasa sareng Kemis anjeunna ngagaduhan pelajaran ngalukis,Malah dina sabtu minggu anjeunna ngagaduhan pelajaran piano sareng matematika,Mibanda tempat les sorangan nyaéta impian Hima,su
Poto dina méja di kamar Hesti nyaéta poto dirina jeung kolotna.,Ayeuna Hesti aya di tempat anu jauh ti imah.,Geus sataun Hesti paamprok jeung indung bapana.,"Hesti sono pisan ka kolotna, hayang panggih.",Hesti ngarencanakeun balik ka imah dua bulan deui pikeun liburan.,Hesti moal mudik lebaran.,su
Gorowok Dana ngajempolan loba barudak.,Ayeuna istirahat heula di sakola.,Katémbong baskét ngalayang ti arah Dana jeung babaturanana nu keur maen basket.,Bal diarahkeun ka Vera anu keur leumpang meuntas lapangan sakola kalayan earphone dicolokkeun.,"Dana nyoba lumpat ka Vera tapi telat, sirah Vera geus katabrak baskét.",Dana nyoba lumpat nuju gerbang sakola.,su
Ova ngabersihkeun méja ruang tamu ku sapu bulu.,Ova kitu bari ngalamun.,Anjeunna mikirkeun tugas komposisina anu ngan ukur satengah réngsé.,Sapu bulu anu dipaké Ova ngahaja norojolkeun vas kembang dina méja.,Vas kembang murag na peupeus.,Vas kembangna bodas.,su
Ema pamitan ka Uli,Ema gé ka imah adina,Aya hal-hal penting anu kudu didiskusikeun langsung,Uli sapuk ngan cicing di imah,Uli teu indit jeung indungna,Indung jeung Uli indit babarengan ka puseur balanja,su
Alcatraz mikanyaah aritmetika,Alcatraz sering ilubiung dina kompetisi matematika tingkat nasional,Vion téh babaturan sakola Alcatraz anu ogé resep cacah,Vion teu resep milu pasanggiri matematika tingkat nasional,Alcatraz sareng Vion resep pelajaran aritmatika,Alcatraz can pernah ilubiung dina kompetisi matematika tingkat nasional,su
Murid SD Harapan bakal angkat ka kebon binatang pikeun nandaan promosi kelas na,Maranéhna naék beus lapangan,Lila ngagaduhan korsi di tukang sabab anjeunna sumping telat,Manéhna ngarasa pusing jeung seueul diuk dina korsi tukang,"Di jalan, Lila utah lantaran pusing",Anjeunna leuwih resep nyetir beus kelas na,su
Wiwit karék meuli teleskop mini,Anjeunna ngagaleuh éta saatos ngahémat kanggo lami,Wiwit rék meuli teleskop sanggeus manéhna indit ka planetarium taun ka tukang,Anjeunna nempatkeun teleskop di kamarna,Anjeunna ngagunakeun teleskop pikeun niténan béntang,Teleskop ngan dipaké nalika Wiwit migawé PR na,su
Aris teu maliré téh balukar goréng.,Tadi peuting Aris poho mareuman keran cai.,Saré bari nungguan mandi.,"Aris hudang isuk-isuk, hapéna nu geus disodorkeun ka lantai, sorana nyeblak.",Cai ngagebrét kana lantai kamar Aris.,Cai geus surut.,su
Dinner geus dilayanan di meja makan.,"Aya sangu bodas, sayur haseum, goreng ikan tenggiri, kumplit jeung sambel cabe.",Sadayana mangrupikeun tuangeun karesep Rendy.,Ema khususna masak pikeun ngagungkeun kasuksesan Rendy lulus ujian promosi taekwondo soré ieu.,"Sateuacan tuang, Rendy ngahaturkeun nuhun ka Ibu anu parantos masak wengi ayeuna.","Sateuacan tuang, Rendy naros naha ngan aya hiji lauk tenggiri.",su
Reno keuheul pisan ka nu naek motor hareupeunana,Supir ieu ngebut di jalan,Laju gancangna ngajadikeun manéhna eureun telat,Tungtungna motor nabrak tukangeun mobil Reno,"Tapi, supir malah nyalahkeun Reno",Nu numpak motor kudu make helm,su
Julia ngarasa hirupna euweuh hartina,Gara sumping kana kahirupan Julia,Gara nawaran seuri jeung seuri,Julia narima kabagjaan nu Gara masihan dirina,Julia ngarasa hirupna leuwih warni,Julia ngan hayang mungkas hirupna,su
Barry kedah nyiptakeun musik dinamis,Grup Barry kedah ngajalanan tés senam,Barry naroskeun naséhat ka babaturanana,Barry jeung grup na latihan teuas,Grup Barry mangrupikeun grup anu gaduh gerakan senam pangsaéna,Barry teu tiasa ngadamel musik,su
Nuel hese sare peuting,Nuel leuwih resep sare isuk-isuk,Kabiasaan Nuel henteu hadé pikeun kaséhatanana,Nuel ogé boga kualitas saré goréng,Nuel sering ngaraos saré,Nuel gampang saré lamun rék saré,su
Indonesia nuju katarajang pandémik,Jalma kudu ngurus sorangan,Pamaréntah ngalarang jalma-jalma ngumpul,Dilan ngaléos ka imahna,Dilan ngalanggar hukum anu ditetepkeun ku pamaréntah,Dilan teu dosa ngariung,su
Patani melak paré ngagunakeun téhnik tumpangsari,Lahan di kampung-kampung patani kalintang kawatesna,Patani nyegah longsor,Patani ngalarapkeun pangaweruh anu diajarkeun ku karuhunna,Karuhun para patani ogé ngagunakeun téknik tumpangsari,Di kampung patani loba pisan lahan kosong,su
"Opat jam geus kaliwat, tapi beus nu mawa rombongan SD Harapan masih macét",Beus maranéhanana kapangaruhan ku alihan lalulintas di jalur puncak,Barudak geus mimiti bosen nungguan lila dina beus,Guru berinisiatif ngahibur barudak nu bosen,Maranéhna ngajak barudak ngumbara ka kebon tea di sabudeureunana,Aranjeunna ngadorong beus babarengan supados gancang dugi,su
Minggu kamari Didit dirawat di rumah sakit,Anjeunna ngagaduhan apendisitis,Akhir-akhir ieu anjeunna sering ngadahar junk food,Ayeuna anjeunna dihalang-halang,Anjeunna moal tuang junk food deui,Didit teu bisa nolak godaan junk food,su
Sirah Melvin masih karasa lieur,"Dina waktu olahraga, kelas latihan voli","Kalayan sumanget, Melvin nuturkeun gerakan kartun karesepna","Gantina pencét bal, obyék buleud sabenerna pencét sirah na","Hasilna, anjeunna kedah istirahat di rohangan kaséhatan",Melvin nyentak bal nu matak pusing,su
Nova nyaéta kapala hiji organisasi ilmiah,Gibran nyaéta kapala hiji organisasi kasenian,Nova jeung Gibran dina widang béda,Nova teu tiasa gabung Gibran,Gibran maksa Nova asup ka organisasina,Nova ngan hiji anggota organisasi,su
Adit papisah jeung Alma lima taun ka tukang,Adit indit teu boga waktu pamit,Waktos ieu Adit hoyong pendak sareng Alma,Acara reuni sakola na bakal janten kasempetan pikeun anjeunna pendak deui sareng Alma,Adit pasti datang ka acara reuni,Adit pamit bari ceurik lima taun katukang,su
