sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Tono nyokot albeum poto ti Leuwi Panjang,Tono melong kaca hareup nu panggihna,Ngaran Tono ditulis dina sampul albeum poto,Tono seuri lebar ningali eusi albeum poto,Albeum ngandung poto Tono nangkring di batu cai,Kulawarga Tono teu boga albeum poto ti Wayang Golek
Ari Tono bungah kacida,Anjeunna bakal nganjang ka imah embah,"Unggal nganjang, embah teu poho méré duit saku",Lomari embah ogé pinuh ku jajanan karesepna,Tono nyaah pisan ka embah alusna,Tono ngan hayang jadi anak embah
Wanda rék ngadéngé lagu Sunda di pireum tina saré,Vanda ngadéngé sora gong tina masjid tina jam 5 subuh,Vanda émut kana upacara adat Sunda anu ngantosan anjeunna ayeuna,Vanda kedah ngiringan yasinan anu diayakeun di masjid lokalan,Vanda langsung ngajugang ka masjid sareng siap-siap ngalaksanakeun ibadah,Vanda tiasa bersantai dinten ieu sambil ngadéngé lagu jaipongan
Siliwangi nyaéta prajurit musuh,Anjeunna pohara kuat,Siliwangi geus pernah dielehkeun ku Prabu Siliwangi ,"Nepi ka hiji poé, Prabu Siliwangi datang",Maranéhna tarung jeung Prabu Siliwangi meunang perang,"Prabu Siliwangi babaturan Siliwangi, jajaka di kampung sebelah"
Jawa Barat ngalaksanakeun prakték ékspor-impor pikeun ngajaga stabilitas ékonomi daérah,Jawa Barat teu bisa nyadiakeun beras pikeun rahayatna alatan kagagalan panén,Jawa Barat ngimpor beras ti propinsi séjén pikeun ngajaga kasejahteraan rahayatna,Jawa Barat ngalaman kagagalan panén paré dina usum halodo ieu alatan kurangna curah hujan,Jawa Barat ngimpor béas ti nagara tetangga pikeun ngajaga kaimanan pangan rahayatna,Jawa Barat ngahasilkeun kadaharan ti lemahna sorangan pikeun ngayakin kasediaan kadaharan rahayatna
Ivana jeung Fani indit ka puseur balanja di Kota Bandung,Tatanggana ngajak Fani jeung Ivana kana mobil anu maké karéta api,Tatangga nyaéta Ivana jeung babaturan Fani di désa Ciwidey,Tatangga teu bisa marengan Ivana jeung Vani balanja di pasar tradisional,Vani jeung Ivana indit ka puseur balanjaan kana motor béngkél di Dago,Ivana jeung Fani balanja jeung Jiran di mall di Jakarta
Pertiwi ninggalkeun kartu undangan hajatan nuju Tono,Tono manggihan kartu undangan hajatan Pertiwi ti Bandung,Tono ngahubungi Pertiwi pikeun nanya kapan hajatanana,Ibu Pertiwi ngadamel rapat kanggo ngatur siomay nu dijual di hajatan,Tono kenal ka Pertiwi nalika upacara seren taun di Imah Kaler,Tono teu hayang nepungan Pertiwi alatan teu boga baju pangsi sirah
Ujang mangrupikeun raja tina dongeng urang Sunda.,"Fragmen kalimah ieu asalna tina lagu tema pantun Sunda, Ujang.",Dea resep ningali pagelaran wayang golek.,Anjeunna ngapalkeun sadaya tembang Sunda.,"Unggal waktos Dea ningali pagelaran wayang golek, anjeunna bakal nyanyi babarengan bungah pikeun tembang Ujang.","Unggal waktos Dea ningali pagelaran wayang golek, Dea bakal pindah ka nonton dangdut."
"Halo, tadi kamana?","Hapunten Tik, abdi aya di Pasar Baru anu kaciwa dilakukeun,","Tika jempé ngadéngé éta, sabab sigana Ary mah geus mimiti ngajual jamu nyeri hulu.","Anjeunna kuciwa, sabab kalah di dugu, Ary geus mimiti nyumputkeun hal.","Tanpa nanya deui, Tika langsung mareuman telepon teu merhatikeun deui pesen ti Ary sarta langsung indit ka Leuwi Panjang.",Tika ngalepaskeun leungeun Ary indit naek angkot jurusan Sukabumi.
Aruna boga tumor terminal nu ngancam nyawana,Aruna teu boga harepan hirup lantaran tumor nu gedé,Dokter ngajak Aruna dioperasi di Rumah Sakit Sartika Asih Bandung,"Aruna ngan hayang mungkas hirupna alus-alus, saperti nu ari di Masjid Raya Bandung","Aruna nampik dioperasi pikeun ngaleungitkeun tumor, terus ngangkat senjata doa ka Allah SWT","Aruna cageur tina tumor anu dideritana, tapi masih kudu nunggu panggilan Allah SWT"
Ening téh kembang pasantén,Manehna boga beungeut geulis siga mojang parahyangan,Sikepna ramah siga bapana anu ngajaga kaolongan,Sorana ogé lemes dina nyarita siga sindén anu ngawih di pagentongan,Ening teh idola di pasanténna,"Minggu hareup, Ening rék ka Bandung jadi kembang dayeuh"
"Bel istirahat disada, kabéh murid buru-buru kaluar ti kelas, nuju warung kopi kanggo nginum bandrek, nuju kopsis (koperasi siswa) kaluar siga nu karék leupas tina beungkeutan palang beusi, kitu deui babaturan sakelas.","Kuring langsung manteng jeung ngaluarkeun komik karesep kuring, Detektif Conan, nu judulna ditarjamahkeun kana basa Sunda ku sastrawan Sunda, Aan Merdeka Permana.","Abdi bogoh komik, naon genre, mungkin komik wayang, komik sastra Sunda atawa komik nu nyaritakeun carita rakyat Sunda.","Aya kitu loba lalaki anu ngaku pencinta komik ngan pikeun meunangkeun haté kuring, tapi kuring mah percaya ka anu bener-bener ngarti kana dunya komik.","Tapi aranjeunna moal tiasa nipu kuring sabab kuring parantos ngartos strategina, kuring mah geus loba maca komik, ngarti kana cara bogaan penulis komik.","Abdi ngagaleuh komik di salah sahiji toko buku anu caket sareng sakola abdi, ngajual komik karesep kuring ka babaturan abdi."
Hani teu resep kana bau minyak kayu putih anu biasa dipaké dina upacara adat Sundanese,"Lamun ngambeu minyak kayu putih, manéhna langsung ngarasa seueul jeung éndog anu ngabungkus bumi Pasundan",Sirahna ogé langsung lieur ku bau émok anu matak nyorang ka hareupeun,"Ku alatan éta, Hani pernah ngagunakeun minyak kayu putih anu geus diberékan ku buyutna ti Subang",Anjeunna langkung resep ngagunakeun minyak telon anu mangrupa ubar tradisional Sunda,Hani resep nginum minyak kayu putih anu matak jadi ngalanggar pantangan adat
Hani resep pisan ngadahar karedok,"Unggal dahar, pasti aya tauge dina piring karedokna",Karedok karesepna nyaéta karedok leunca,Malah daharan karesep Hani nyaéta karedok,"Tanpa karedok, Hani ngarasa kadaharanana teu ngeunah","Mun teu aya karedok, Hani bakal kakurangan gizi"
Ayeuna loba kajahatan di pasar tradisional,"Boh di pasar, angkot, komo di tempat nu loba jelema, kawas di kota Bandung","Kajahatan anu sumebar di mana-mana ngajadikeun jalma-jalma kedah langkung waspada, kawas nu diwartoskeun di koran Sunda","Ku alatan éta, Mina diajar silat Sunda pikeun bela diri","Salian ti alus keur kaséhatan, Mina hayang bisa ngajaga dirina tina kajahatan, saéngga manéhna bisa tetep aman nalika mudik ka Leuwi Panjang","Manéhna hayang jadi pajabat di kecamatan pikeun ngabasmi kajahatan, tapi manéhna teu boga latar belakang pendidikan nu relevan"
Marina geus sababaraha poé teu nempo Karina pasanggiri reog di dayeuh Bandung,Sahabatna henteu sakola salami tilu dinten lantaran keur lebaran,Wali kelasna ogé teu meunang béja ti Karina ngeunaan acara pernikahan di kampung halaman,Marina mutuskeun pikeun didatangan Karina sanggeus sakola ka rumahna di daerah Cianjur,Anjeunna hariwang kana kaayaan baturna nalika nonton wayang golek,Marina hayang nagih hutang ti Karina lantaran teu dibayar sawatara waktu
Melisa geus nyerah dina maké jamus tinggi ka Gunung Tangkuban Parahu,Manehna teu biasa maké jamus tinggi di pagunungan,"Sanajan kitu, anjeunna embarrassed mun maké sandal ke urang",Babaturanana kabéh datang ka upacara adat maké jamus tinggi,"Hasilna, anjeunna janten sesah leumpang sareng sukuna nyeri",Dadia di Tatar Sunda biasana dianggo ku batur
Sadaya murid kedah nganggo pakean adat Sunda anu rapih sareng lengkep,Isyah poho make dasi ulukukan jeung sabuk poleng,Isyah panik jeung hariwang kacida ngora kantos ka sekolah,Jerom nginjeumkeun dasi jeung sabukna nu séjén anu aya di lumbung leuit,Isyah teu dihukum ku guru lantaran geus ngajarin cara ngawadahan,Isyah dangdanan rapih sareng pikeun ngiring seren taun
Aing nyikikik Siti kadéngé nepi ka panggung Jaipongan.,Neng Siti baralik panasaran.,Sirah Siti murag kana lantéy.,Neng Siti ngaléngkah ka sisi Siti pikeun ningali naon anu ngajadikeun Siti nyikikik.,Tétéla Siti keur ngajajar Jaipongan.,Tétéla Siti keur dahar kupat.
Risaa resep pisan ka nasi timbel,Ian masihan Risaa sepiring nasi timbel,Risaa diuk gigireun Ian,Risaa tuang Ian sepiring nasi timbel,Risaa jeung Ian ngarasakeun nasi timbel babarengan,Ian keur di Ciwidey keur urusan
"Soré éta, urang nyandak tindakan deui di Pasar Bandung.","Jelajahi unggal bagian pasar pikeun nyisiran barang anu tinggaleun ku padagang, kawas kacang rebus jeung sate maranggi.","Babaturan, tingali, aya sapatu anu saé, lir batik Sunda!","Wah... merekna can dicabut. Kamana atuh ieu teh, sapatu naék gunungnya?","Barangkeun ka satpam pasar, dipulangkeun deui ka tukang dagang.","Ieu mah, dijual deui di Pasar Cimindi!"
Guru ngaji mah disebutna Ajengan Rahmat,Anjeunna mangrupikeun jalma anu ngabogaan ilmu sareng akhlak,Anjeunna lulusan Pondok Pesantren Tebuireng,Tapi anjeunna hoyong ngajar di masjid kampung urang,Sadaya murid hormat kana anjeunna,Ajengan Rahmat teh bapa gurunya kuring
Alana resep pisan nulis sajak anu ngagambarkeun kaéndahan Tatar Pasundan,Alana sok nyerat ngeunaan tradisi Sunda dina puisi nu miboga irama nu éndah,"Alana ngarti loba hal anu teu bisa ngarti ku batur, ku sabab wong Sunda nu miboga kabudayaan nu ragem",Dio sok ngarti kana maksud puisi Alana anu ngagambarkeun perasaan jelema Sunda,Dio sok ngajurung Alana pikeun digawé puisi nu ngajaga kabudayaan Sunda,"Teu aya nu ngarti kana maksud puisi Alana, komo wong Sunda nu loba nu teu apal kabudayaanna"
Upami anjeun kantos ngalakukeun kasalahan,Bina ngarasa karunya pisan kana kasus hilangna batik tulis di Kabuyutan,Jiray nyaah pisan ka Bila lantaran teu bisa ngawih lagu Sunda kalawan bener,Lamun teu kungsi ulin jeung Jiray deui di pesta Ngabuburit,Lamun nyieun kasalahan ngalawan Jiray kana carita Pantun Sunda,Jiray sok jeung Bila nangtayungan angklung di Saung Udjo
Diah hoyong ngajajar sangu,Henteu aya suplai béas di imah Diah,Diah indit ka pasar tradisional di Bandung,Diah meuli karung béas,Diah tiasa ngajajar béas tina béas anu dibeuli di pasar tradisional,Diah teu tiasa tuang sangu
Ningrum ngawasaan pencak silat Sunda,Ningrum bisa ngajaga dirina ti bahaya,Ningrum dirampok ku copet di Pasar Baru Bandung,Ningrum ngéléhkeun copet teu boga ngalawan,Ningrum meunang barang-barangna deui tur boga kabanggaan,Ningrum ngajerit sieun tur ngalaman kacau
"Farel ngabawa bako kaulinan tradisional Sundanes, seperti congklak","Sanggeus kabéh bahan réad, Farel ngumpulkeun batur",Farel sorangan nu mingpin upacara adat ngawula,Kabéh batur kudu ngarayakeun ngadegna galengan,Farel teu bisa ngagantikeun rasa hormatna kana karuhun,Farel teu bisa milih baju ulos ka péntas seni tradisional
Kahlil meunang surat cinta ti kelas SMPna nu aya di dayeuh Bandung,Kahlil ogé cicingeun bogoh ka budak sakelasna nu keur ngabuburit di situ Ciburuy,Babaturan Kahlil ngasongkeun suratna nu eusina carita ngeunaan wayang golek,Kahlil satuju kana usul baturna pikeun nonton konser degung di Gedung Sate,Kahlil nulis surat balesan ka kelas SMPna nu dibungbung ku lirie lagu Sunda,Kahlil hate meunang surat cinta sababari ti kaulinan deungkul
Aki resep nyieun angklung ngagambarkeun lalampahan karajaan Pajajaran,Aki mindeng nyieun angklung ngagambarkeun budaya Sunda,Aki geus nyieun 10 sét angklung anu kasohor,Sakabéh gagasan angklung Aki asalna tina tradisi kulawarga,Sét angklung anu dijieun Aki diadaptasi tina lalampahan karajaan Pajajaran sorangan,Aki medalkeun ensiklopedia basa Sunda
Ariana mah pinter masak rupa-rupa kadaharan Sunda.,"Tapi aya hiji hal anu anjeunna henteu tiasa masak, nyaéta karedok.",Ariana hayang bisa masak karedok ogé manéhna bisa masak kadaharan séjén khas Sunda.,Éta naon anjeunna di dieu pikeun ayeuna.,"Ariana diuk dina korsi di kamar badag, ngadengekeun batur di hareup anu ngajelaskeun teknis ngalaksanakeun kursus masak karedok.","Ariana diuk di alun-alun Bandung, nungguan giliran ngadahar batagor."
"Panon Valdi gaduh minus anu luhur pisan, sigana nganjang di lebak nu luhur.","Éta sababna Valdi sok diuk di hareup kelas, di deukeut guru.","Tulisan dina papan tulis moal katingali ku Valdi upami anjeunna linggih di tukang, di gigireun jendela.","Untungna, jangkungna Valdi ukur jangkungna rata-rata jadi teu nutupan tulisan dina papan tulis, nu ditulis maké arang.","Jadi euweuh barudak nu protes sanajan Valdi sok diuk di hareup, maranéhanana ngarti, sabab jangkungna Valdi nu pas.","Jadi Valdi milih teu datang ka sakola, malah pé di leuweung ngalakon."
Bapa ngajak Eka nuju kandang banténg ngariung di Taman Mini Indonesia Indah (TMII),Bapa terang ka pawang banténg anu badé ngajaga,Eka ningali bapana nu keur ngayunang sirih,Bapa nepangkeun Eka ka juru main wayang golek,Eka resep panggih jeung dalang wayang golek anu kasohor,Éka teu daék indit jeung bapa kana upacara Adat Sunda
Lanceuk meuli batik warna-warni di Pasar Baru,Adina mah hayang boga baju batik tulis ieu,Lanceukna ngajak ka lanceuk meuli batik di Cianjur,Lanceukna meuli adina batik motif parang rusak,Lanceuk nyaah pisan ka adina kacida cageurna,Lanceuk hate adina nu sok ngajak manéhna ka gunung Tangkuban Perahu
Oongan indung siga parembugan nu dipidlok ku Lembur teuas ka Aci.,Aci bakal ngajawab sagala oongan Bapana.,Bapana teu kungsi maksa Aci neda ulin.,Aci sorangan teu kungsi hayang ngalawan Bapana.,"Sakur nu diomongkeun ku Bapana, si Aci sok ngajawab enya.","Sakur nu diomongkeun ku Bapana, Aci teu paduli."
Angklung mangrupikeun ekstrakurikuler énggal di sakola Rissa.,"Rissa resep maén angklung, janten anjeunna mutuskeun pikeun ngiringan ekstrakurikuler angklung.",Kagiatan ekstrakurikuler munggaran bakal dilaksanakeun engké saatos sakola di imah budaya.,"Pas bel sakola disada, Rissa langsung leumpang ka imah budaya.","Di dinya, sababaraha anggota kelompok ekstrakurikuler angklung parantos ngariung anu siap pikeun ngamimitian latihan.","Di dinya, anggota ekstrakurikuler jaipongan geus ngumpul anu siap pikeun ngamimitian latihan."
Kanya hayang milik mobil anyar pikeun nganterkeun indung ka pasar,Kanya indit ka diler mobil pikeun ngasahkeun kahayang na,Kanya masihan spesifikasi mobil impianna ka salah sahiji sales,Kanya ngagaduhan mobil impianna 1 minggu saatosna,Diler mobil bisa ngawujudkeun kahayang Kanya,Kanya nyieun mobil sorangan pikeun nyocogkeun kahayangna
Chiko bakal naék motor ka Pasar Jejér,Chiko poho make helm tradisional Sunda,"Pengendara motor anu henteu nganggo helm bakal ditikétkeun ku Pak Dede, pulisi anu tanggung jawab di daérah éta","Pulisi jaga di sapanjang jalan anu ngaliwat ka Chiko, ti mimiti Cianjur nepi ka Bandung",Chiko ditikétan teu maké helm ku Pak Dede,Chiko nitip tikétna ka Abahna anu keur dagang di Pasar Jejér
Mamat mah teu resep cicing di imah pamanna di Ciwidey,Imah pamanna jauh ti kota Bandung,Imah mangrupa imah adat Sundanesa nu tradisional,Anu paling dipikaresep ku Mamat nyaéta kurangna cahaya di jero imah nu gelap,"Wanci peuting, imah pamanna jadi pikasieuneun pisan kawas ngaliwat di Taman Sari","Mamat kapaksa ngahuru api unggun supaya imahna caang, tapi cahayana tetep meresah"
Nazifa ngajukeun resep tradisional Sunda nu has,Katumbiri bakal muncul saatos hujan nu ngaroyom di daérah Bandung,Nazifa bakal ngadagoan hujan réngsé sanggeus ngalungan di sawah,Nazifa henteu ningali katumbiri dinten éta lantaran poéna réngsé,"Kacang Bereum, simbol kemakmuran di acara adat Sunda, henteu kagambar dinten éta",Sunda henteu kantos ningali katumbiri nu boga harti nu has
Teuas haté bakal léah ku lelembutan ka budak leutik,Karina sok méré lelembutan ka jalma-jalma nu panggih di pasar Cianjur,Loba jalma kawas Karina nu senang ngabogana ka Sunda,Karina teu ngarasa reueus nalika ngadangdangkeun tembang Sunda,Karina salawasna ramah ka dulur sambanda di acara hajat,Karina teu resep nepungan batur di kampoeng halang
Rusi diajak bapana ka saung undang,Rusi menta diwadahan bakti di saung undang,Bakti Rusi beuki anteng,Rusi ogé menta dipintonkeun pikeun wayang golekna,Wayang Golek Rusi beuki rese,Rusi leuwih resep ngajaga sawah
Wafda ngagaleuh sapu korma anu dititipkeun ku indungna di pasar Kaget Leuwengsang.,"Manéhna ogé meuli sapu, sapu sapu jeung pistol, saatos ngalalajoan di Taman Mini Indonesia Indah.","Basa rék ngaganti parabot beberesih di imah nu geus teu cocog deui dipaké, ku parabot anyar anu dibeli di Pasar Baru.","Wafda mawa barang anu dititipkeun ku Ema kana motor, kalayan baju kaén batik khas Sunda.","Sanajan mimitina rada hese alatan lobana barang-barang, Wafda junun balik ka imah kalawan salamet, sanggeus sowan ka Masjid Raya Bandung.","Sanajan aya kasusah, Wafda junun ngagaleuh motor kalayan harga anu murah, terus ngalongok ka Gedung Sate."
Fadila geus manggihan dosen anu dianggapna alus ngajar Basa Sunda,Dosén Fadila diganti ku dosen séjén anu ahli ngeunaan sajarah Pasundan,Fadila hariwang kana cara ngajar dosen ngeunaan Carita Pantun Sundanesa,Fadila terus ikhtiar nyieun makalah ngeunaan Tari Jaipongan,Fadila bajoang pikeun meunangkeun peunteun pangalusna dina ieu kursus Basa jeung Sastra Sunda,Fadila janten males nyandak kursus ieu nepi ka balik ngarasakeun rasa panghormatan kana budaya Sunda
Katingalina bagja,Maksudna kuring katingali gendut ayeuna?!,"Haha lain kitu, tapi maneh bagja kan?",Hmm hehehehe.. Abdi.. senang..,"Muhun, sigana mah kitu",Anjeunna ngagenggam leungeun kuring nepi ka Situ Patenggang.
Poé anu paling dipikaresep pikeun ditilik di pintonan Wayang Golek,Anjeunna gampang pisan amused lamun ngiringi kasenian Jaipongan,"Mun aya nu nyikikik, Hari bakal seuri kawas ngariung di Pantai Palabuhanratu","Sakali anjeun seuri, éta hésé eureun ngalongok kana katuranggan Sunda","Ku alatan éta, Hari mindeng ngambek lamun aya nu nyitak manéhna waktu Upacara Seren Taun",Hari anak bageur pisan ngahormat ka kolot jeung adat Sunda
"Vika hanjelu lantaran gagal asup ka Sekolah Tinggi Keguruan nu dipikahayang, nu mana manéhna baris jadi guru basa Sunda.","Sababaraha dinten kapengker Vika ngonci di kamarna, nuluykeun ngamalikeun baju Sunda pikeun upacara adat nu bakal dilaksanakeun minggu deui.","Ema sareng Bapa hariwang kana kaayaan Vika, sababari teu bisa ngajalankeun cita-citana jadi penari Jaipongan.","Bapa ogé berinisiatif ménta Vika misan pangdeukeutna, Maudy, cicing di imah sangkan bisa marengan Vika ngajaga lembur kuring di kebon.","Maudy langsung ngomong bakal balik ayeuna pas bapana ngahubungan anjeunna ku telepon, sambil ngabawa sangu hareup pikeun Vika.","Maudy nyarios yén anjeunna badé ngalamar ka Universitas Padjajaran, nu mana manéhna baris diajar basa Sunda sareng sastra Sunda."
