sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Kiran dadi juru damel ing kerajaan,Kira diwenehi akeh prasaja,Kiran ngerti barang paling anyar ing bidang wayang,Kiran nggunakake akeh properti kanggo ndhukung pagelaran wayange,Kiran njaga rahasia pagelarane,Kiran diwenehi prasaja sing cukup kanggo ndamel wayang
Galvin ngajari Slamet nganggo wayang,Galvin ora bisa dolanan wayang,Slamet ora nyerah ngajari cara macak wayang,Galvin pungkasane bisa ngadegkeun wayang kang apik sawise latihan 3 minggu,Slamet wis kasil ngajar Galvin,Galvin lan Slamet durung tau weruh wayang
Ani iku bocah sing ceria.,"Saben mulih sekolah, Ani nonton wayang kulit ing tivi.",Dheweke nonton wayang kulit kasebut nalika mangan gudeg sing digawe ibune.,"Nanging ing sawijining dina, Ani ora duwe wektu kanggo nonton wayang kulit amarga dheweke kudu sinau ing grup.",Ani sedhih banget amarga dheweke bakal kelangan lakon sing ora bakal ditayangake maneh.,Ani uga bocah sing manis banget.
Bapak Lestari seda,Lestari melaksanakan acara pemakaman ayahandanya,Jenazah dibungkus dengan kain kafan,Tangga-tangga membantu mengusung peti mati,Kerabat Lestari mengantar jenazah ke pemakaman,Bapak Lestari mengusung peti mati sendirian
Juan menyang pasar numpak andong,Ana wiyaton ing andong,Tukang wiyaton njaluk dhuwit sethithik marang Juan,Juan ora mènèhi dhuwit marang wiyaton,Juan ora duwé dhuwit cilik,Tukang wiyaton ngrampok dhuwit Juan
Diana mèlu lomba reog,Pemenang lomba bakal dadi duta mahasiswa sing nduwèni karakter kang luhur,Diana mènèhi sing paling apik kanggo dadi juara lomba,Diana dadi juara pisanan saka kompetisi,Diana dijenengi duta mahasiswa kanthi karakter kang becik,Diana nyerah ing kompetisi reog
"Bengi iku, gong Agung muni kaping pirang-pirang","Malah wis jam loro sore, nalika wayang kulit arep dimulai","Nalika ibu ngintip saka pawon, ora ana wong ing pekarangan",Bapak mutusake kanggo mriksa apakah ing pekarangan ana sesepeleh,"Sawise dipriksa, jebule gong Agunge ana kerusakan",Jebul omahe ana bedug loro
Pak Bayu seneng mancing,Saben dina Jemuwah dheweke lunga menyang Kali Brantas karo kancane loro,"Nalika arep mancing, Pak Bayu ora tau bosen nggunakake joran saking bambu",Dheweke wis entuk ewonan iwak lele lan nggawa sawetara kanggo dimasak ing warung gudeg,Pak Bayu tansah ngrasa bungah yen mancing ing dina Jemuwah,Pak Bayu lan kanca-kancane padha saingan dadi pemancing paling apik ing désa Bantul
Papa Rabi minangka juru masak tradisional Jawa,Dheweke pancen wong sing trampil ngolah bumbu,Dheweke lulus saka LPK Jurusan Masak lan nerusake kuliah ing Yogyakarta bebarengan karo Habibi,"Papa Rabi ora mung nduweni kemampuan masak sing luar biasa, nanging uga apikan lan tresna",Ora gumun Rabi bangga banget karo bapake,Rabi rumangsa yen ibune mung wong tuwa sing tresna marang dheweke
Andi lagi maen lompat adoh ing lapangan,Dheweke maen karo kanca-kancane,Padha saingan kanggo ndeleng sapa sing bisa mlumpat paling adoh,"Tanpa disadari, kathok Andi sobek",Dheweke isin banget karo kedadeyan iku,"Andi langsung mbuwang kathok iku ing tong sampah, terus dheweke bilang 'Aduh, ilang kathok ku'"
Rena ajak kancane menyang senthong bledhuk,Wis suwe ora dolanan bledhuk bebarengan,Dheweke menyang senthong bledhuk sing ana ing cedhak alun-alun,Senthong bledhuk ing kono resik banget lan ora rame banget,Padha seneng-seneng nganti wengi,Senthong bledhuk dadi kuburan klethi
Angin sumilir ing dina iku,Hanna krasa semilir angin marani awak kaya krasa sembahyang ing masjid,Hanna nyawang wit-witan sing goyang-goyang manut irama angin kaya goyang Jathilan,Hana seneng karo kahanan dina iku kaya nalika lebaran,Hana nenangake awake dhewe karo alam kaya sedhekeun ing Sendang Sono,Hana luwih milih nginep ing kamare sing ditutup kaya nalika lagi ngelakoni i'tikaf ing masjid
"Maneh, Beno mulih telat saka taman mini Sekartaji","Dheweke dolanan karo kanca-kancane tanpa ngerti waktune, saengga ora bisa nonton wayang kulit malam kuwi",Dheweke ora perduli karo PR lan tugas nulis makalah ngenani budaya Jawa,"Bapak lan ibune wis bola-bali didukani, nunggu Beno nganti jam lima sore","Nanging, Beno isih seneng dolanan nganti wengi, saengga ora bisa ngrawu rambu-rambu kasepuhan","Dheweke pengin Beno main nganti esuk, ora ngerti kena pantangan jaman Jawa"
"Sawise mulih saka pasar Bantul, Afif nesu","Dheweke pengin ketemu Rania sawise sinau ing pondhok pesantren, nanging kancane ora gelem",Afif sing jengkel nyritakake kabeh marang ibune,Ibu nerangake yen Rania wis seminggu kena cacar dadi ora bisa ketemu wong,Afif ngrasa isin amarga nesu tanpa takon Rania kok,Ibu ngajak Afif bali menyang kraton
Miani pancen seneng blanja ing pasar tradisional,"Miani boros banget babagan finansial, kaya wong Jawa sing ora bisa ngorbanaken rejeki dhewe","Ibune Miani nesu karo sikape Miani sing ora perlu, kaya wong Jawa sing mesti mikir baé yen wis diwènèhi rejeki","Miani janji ora bakal mbaleni tumindake, amargi Miani wis ngerti yen urip kuwi pener","Miani luwih hemat ing urusan keuangan, kaya wong Jawa sing pinter ngatur rejeki dhewe","Miani ora bisa nahan kepinginan kanggo blanja, malah Miani dadi wong sing boros banget kaya wong sing ora tau ari"
Kulawarga Dalem nganti punika mung duwe anak siji,Pewaris tunggal Kraton Dalem yaiku putrane Dalem,Raska minangka calon ahli waris Kraton Dalem duweke kulawargane,Raska duwe adhine jenenge Bambang,Raska dudu anak saka kulawarga Dalem,Bambang minangka pewaris tunggal Kraton Dalem
Crita babagan Bandung lahir iku crita sing paling disenengi Kayla.,"Nalika aku isih cilik, embok kerep crita iki babagan Prabu Siliwangi.","Yen Embok arep crita liyane ngenani Riwayat Sangkuriang, Kayla mesthi ora gelem.","Meh saben bengi sakdurunge turu, Embok miwiti critane karo ngajak Kayla nyanyi kidung Sunda.","Panggung Sangkuriang, gunung tanggung, di lereng Gunung Tangkuban Perahu, ayo cepet dicekel, ora karu-karuan.","Manuk beo, lungguh ing jendhela, simbah wis tuwa, mung kari rong untu."
Erin sinau masak ing kursus,Erin kepengin dadi imah pendhem sing apik,Bojone Erin ndhukung maksude sing mbangun griya,Erin seneng sinau masak gudeg,Erin bisa nguwasani carane masak gudeg sing enak kaya ibuke,Erin luwih milih nganggo jasa warteg kanggo mangan
Para remaja angel nyaring informasi sing dipikolehi saka internet,Budaya jawi ora pantes ilang ing tanah jawi,Saslang ora nganggo beskap sing rapi nalika tekan pendopo,Beskape Saslang katon banget yen dibandhingake karo adate,Saslang ngetutake tren budaya kutho,Saslang mangkat pasar nganggo blangkon
Aldway dadi ksatriya perang,Aldway nglawan kabeh musuh-musuh,Aldway nggawa kamulyan kanggo nagarane,Pamrentah menehi gelar Bhayangkara,Perjuwangan Aldway mesthi bakal dikenang,Alday ora melu perang
Joko arep menyang Alun-Alun Kidul,Joko arep melu Nia,Dhek dina iku Yogyakarta ketutupan gerimis,Joko lan Nia nyawang udan karo nyruput kopi anget ing lempesan,Joko lan Nia ora menyang Alun-Alun Kidul,Joko mbuwang Nia metu saka omahé
"Respon siswa kelas 11 Ilmu 3 kaya sing dikarepake Yoyo, nganggo basa Jawa yang santun.","Ora ana sing mbantah yen Acha nggunakake dhuwit saka hadiah usaha patungan kanggo anake Bu Ai, pasadyan ing pasar tradisional.","Malah sawetara bocah sing duwe rejeki luwih njalok dikontak yen Acha isih butuh dhuwit, ngono yo yen ora diatur.","Dheweke uga setuju menehi dhuwit marang Acha, ora ngutangi, pasadenan kaya ing upacara adat.","Kerja sama tim IPA 3 siswa kelas 11 pancen bisa dibanggakake, kaya keberhasilan panen raya.","Kerja sama tim IPA 3 siswa kelas 11 pancen repot, kaya pasaran yang rusuh."
Jaka iku putrane Sultan Agung,Dheweke nduweni ciri sing beda banget karo bapake,Sultan Agung iku raja kang kejem lan ora ngutamakake kepentingane rakyate,Deweke kerep ndadakake uripe rakyate sengsara kanthi pajek sing gede saben sasi,Jaka kerep melas marang rakyate lan sok-sok nulungi wong-wong mau kanthi ndhelik tanpa diweruhi dening Sultan Agung,Jaka seneng karo pajeg sing ditampa dening ramane Sultan Agung kanthi nggunakake dhuwit kanggo tuku macem-macem perhiasan emas ing koleksine
Jemu iku Farhan ngajak Eci ndonga ing wayang kulit.,Dheweke milih gudeg Yu Djum sing paling enak ing antarane panganan liyane.,Farhan nggodha Eci karo ngenteni panganan teka saka pasar Beringharjo.,"Dheweke ngirim fotone Eci marang wong sing biyen disenengi Eci, uga nimbang-nimbang bakalan milih Eci dadi pacang.","Ujug-ujug, Eci langsung ngamuk lan njaluk suguhan marang Farhan supaya bisa diapura.",Eci biyen murid nakal ing ngaji.
Kendra ngasta layang,Layang kasebut ngemot undhangan kanggo ngawon-ngawoni pagelaran wayang,Kendra deleng jadwale,Kendra gelem melu pagelaran wayang,Kendra wektu iku ora duwe jadwal kanggo nonton,Kendra ora bisa dados dalang
Mitha lan Mila tansah mulih sekolah bebarengan,Omahe ana ing komplek sing padha,Dheweke numpak dokar saka sekolah,Sawise iku padha mudhun ing terminal lan numpak andong,Wong loro mau mudhun ing gapura komplek banjur mlaku menyang omahe dhewe-dhewe,Dheweke nyopir andong menyang omah
Dina iki langite mendhung banget,Gemuruh wis keprungu wiwit esuk,Diprediksi bakal cepet udan,Aku buru-buru mangkat kerja amarga wedi kejebak udan,Aku nggawa payung,"Sadurungé budhal, klambi-klambiku wis garing ing plataran"
Bahir njupuk tes potensial akademik ing Universitas Gajah Mada,Bahir mesthi duwe biji sing dhuwur yen kepengin dadi sarjana,Bahir kepengin dadi perwira ing TNI,Petugas kudu lulus tes potensial akademik supaya bisa mlebu PTN,Bahir lulus tes potensial akademik lan dadi sarjana lulusan terbaik,Bahir kepengin dadi lurah ing désané
Sandi seneng banget mangan gudeg.,Gudeg sing biasane dijupuk saben dhahar mesthi akeh.,"Ing sawijining dina, wetenge Sandi lara banget, mula ibune digawa menyang dokter.","Jare dokter, wetenge Sandi lara amarga kakehan mangan gudeg.",Dokter nglarang Sandi mangan gudeg sing keweh banget.,Dokter nawani Sandi jenang sumsum sing ana ing meja praktike.
Alana nyaweni jajan semar,Jajan semar Alana mung mangan gudeg,Alana ora tau menehi jajan semar panganan sing kudune,Jajan semar Alana luwih kerep njaluk panganan marang Alana,Alanane ora menehi panganan sing dipangan marang jajan semar,Alana ora duwe jajan semar
"Ora mungkin aku seneng karo Dyah, wis kaya rabi-rabine, ing sangisore wit beringin ing sendang","Nalika iku aku kepeksa mandheg ngrungokake pangrasane marang kancaku, kang lagi mbiyangke kawruh wayang","Mesthine, iki dudu sepisanan aku dadi pendengar crita babagan asmara ing kraton Yogyakarta",Aku dadi penasehate saben dheweke nyoba kanggo menang atine putri kang ayu,"Ya mengko, sapa ngerti kowe bisa dilat idumu dhewe, kaya taun anyar kang sugih","Nggawa kue lapis, pitakone karo ngoyak aku mlebu pendopo"
Bianca kadhaptar minangka salah sawijining panampa beasiswa taun iki.,Mula Bianca dikon marani kepala sekolah saiki.,Bianca wis ora sabar arep ngandhani wong tuwane kabar seneng iki.,"Nanging, Bianca mung bisa nindakake apa sing dikarepake sawise sekolah.","Nalika mlaku menyang kantor Kepala Sekolah, Bianca mesem mbayangake ekspresi bungahe wong tuwane mengko.",Nalika mlaku menyang kantor Kepala Sekolah Bianca mangan gudeg.
Wengi Rio lingsir wengi ngunjungi pasar malam,Dheweke mung turu jam telu esuk,Padahal dina iku wis dijadwalake Grebeg Maulud,Rio telat mangkat ngibadah merga ngantuk sawise begadang,Pungkasane Rio ora diijini melu ritual adat dina iku,Rio nesu marang kyai amarga nganakake ritual
"Ari iku budak sing pinter, uga sregep sinau kasidahan Jawa.","Sore iku, kaya biasane, dheweke sregep nggayuh wayang kulit.","Ing dalan, dheweke ketemu karo Adi sing uga ing dalan menyang Kraton Yogyakarta.","Nalika lelungan, dumadakan ana banteng nyedhaki dheweke.","Aci langsung mlayu, dene Ari ngancani nganti banteng-banteng liar mau ilang.",Aci njupuk sisa-sisa pecel mau diparingake marang banteng kesasar.
Keisya bubar nggatekake bocah lanang ing pendopo,"Anake jenenge Boni, bocah saka désa manggon ing sekitar keraton","Boni kuwi bocah sing meneng, nanging nggantheng banget kaya wayang kulit",Keisya senengane isin yen ketemu Boni nalika upacara Grebeg Maulud,"Keisya wis tresna karo Boni, nanging kudu nunggu wektu sing pas kanggo ngungkapake perasaane","Keisya lan Boni urip kanthi seneng, nanging tanpa mehadi pernikahan adat Jawa"
Xiara meteng,Jaron iku bojone Xiara,Xiara pengin pelem gula jawa,Jaron nggoleki bakul gondang ing cedhak omahe,Xiara kepengen es dawet,Xiara durung nikah
Renata minangka koki sing apik banget ing Griya Singgah ing Ngayogyakarta,Dheweke banget pengalaman ing ngolah panganan tradisional Jawa,Wiwit cilik Renata seneng ngrewangi ibune masak Gudeg lan Krecek,Dheweke tansah ngasilake masakan sing enak kanggo kulawarga nalika acara hajatan,Renata sinau masak saka ibune sing dadi juru masak kraton,Renata ora seneng masakane ibune sing akeh ngandhani resep rahasia
"Nisa weruh asap metu saka celah lawang kamar tanggane asrama, Anis.",Nisa gugup njajal mbukak lawang kamare Anis lan nemu banyu godhok ing dandang sing isih kobong.,Nisa noleh nalika disambut dening Anis sing katon ing lawang kamar karo kranjang sandhangan garing ing tangane.,Anis nembe rampung njupuk umbah-umbah saka jemuran lan lali yen dheweke lagi nggodhok banyu kanggo sega.,Anis matur nuwun marang Nisa amarga wis mbantu mateni dandang ing kamare.,Anis takon kok Nisa ora nggodhog banyu kanggo gudeg.
Gapura maju omah Roro Jonggrang akeh banget rubuh.,Gapura iki minangka siji-sijine akses menyang kompleks omah Roro Jonggrang.,Saiki ana sawetara wong ing gapura sing lagi ndandani.,Watu gedhe dipasang kanggo nyambungake gapura sing rusak.,"Nganti saiki, gapura iki mung bisa diliwati wong sing mlaku.","Kanggo sawetara wektu, gapura iki dicet abang."
Agus ngajak Dirna lunga menyang pesisir,Agus nyemplung kaya déwa,Dirna nulak ajakané Agus,Agus nyekel Dirna menyang sagara,Dirna pungkasané mandi karo Agus,Agus ora nggodag ananing Dirna
Es campur minangka panganan favorit Dolly.,Meh saben dina Dolly tuku es campur.,Dolly biasane lungguh ing warung kantore yen mulih kerja.,Dolly tansah pesen secangkir wedang ronde panas karo es campur.,"Sinambi mangan, Dolly bakal ngrampungke tugas-tugase kanggo sesuk supaya dheweke bisa bebas kerja ing omah.","Nalika dhahar, Dolly gumun, kok sik ana bolongane ing tengahe."
Salsa ngajak mangan gudeg,Yen sampeyan ora bisa mangan gudeg,Kondisi Yen sampeyan ora sehat,Salsa ganti undangane mangan pecel lele,Salsa ngerti kahanane Bapak,Yen kepeksa mangan gudeg
Nisa duwe kuda,Kudane Nisa jenenge Miji,Nisa nggoleki kudane ing ngendi-endi,Nisa ora ketemu kudane,Kudane Nisa ilang,Miji ngancani Nisa nggoleki kudane
hmm enak! Aku seneng mangan es teler!,"Aja ngapusi, aku butuh masukan saka sampeyan.",Aku serius. Aku seneng coklat chips. Lan aku uga seneng...,"Apa sing sampeyan seneng, Yuna?","Aku seneng karo sing duwe, kaya ta bakpia khas Pati.","Ora ana sing dakkarepake ing donya iki, aku sengit kabeh, kaya ta gudeg sing ora ana rasané."
Boni duwe 5 kembang,Kembang iki dituku bapakku ing Pasar Ngasem,Kabeh kembang Boni beda rupa,2 kembang mawar lan melati,"Sing liyane bunga orchid, bunga kamelia, lan bunga cemara",Dene telu liyane jambu
Lena ora sabar ngenteni wayangan kulit,Wayangan kulit dheweke bakal menonton pagelaran dalang kondang,Dheweke wis nabung pirang-pirang wulan lan njupuk pekerjaan sampingan kanggo tuku karcis,Akhire dheweke bisa tuku karcis nganggo dhuwite dhewe,Dheweke malah isih duwe dhuwit ekstra kanggo tuku olehraga tradisional,Dheweke ngedol karcis kanthi rega sing luwih dhuwur
Akhir-akhir iki ibu lali banget,"Akibat&#xE9;, ibu asring kelangan barang",Kabeh kudu dicathet supaya ora ilang,Ibu uga gampang gupuh nalika mudik,"Saben mudik, ibu-ibu asring gupuh amarga kuwatir yen kompor durung dipateni utawa lawange ora dikunci.",Ibu ngunci awake ing kamar
Pak Dewa dadi guru ing SDN 1 Yogyakarta,Pak Dewa nganggep peran guru iku penting banget ing pendidikan anak-anak ing désa,Pak Dewa kepengin ngowahi nasibe bangsa liwat pendidikan,"Pak Dewa menehi pangarep-arep marang generasi mudha, supaya bisa dadi pemimpin bangsa ing masa depan","Pak Dewa ngabdi marang murid-muride kanthi ati, kaya bapakne dhéwé","Pak Dewa ora dadi guru sing apik, amarga kurang sabar karo murid"
Wis 2 dina Ani katon lesu mring wayang kulit,Dheweke ora gelem mangan lan raine katon sedhih nalika nonton ludruk,Mripate sembab lan ora bisa nglalekake mantan pacare Yoyo sing lagi ndangdut,Padahal Yoyo wis nduwe pacar anyar sing seneng banget njogo kuda lumping,Crita Ani lan Yoyo mung dadi kenangan ing desa Jawa,Ani lan Yoyo arep miwiti urip anyar ing wulan Ramadhan
Bapak seneng dhaeng.,Kabeh sing dituku bapakku mesthi dhaeng.,Kulkas lan dispenser ing kamar panedhaan dhaeng.,Semono uga kompor ing pawon.,Bapak arep tuku mesin cuci dhaeng kanggo ngganti mesin cuci sing rusak.,Bapak arep tuku mesin cuci putih.
Herlambang wiwit esuk mung nginep ing senthong,Wong Jawa ngrayakake Sekaten karo kulawargane,Herlambang lagi wae mikir-mikir seneng malem Sekaten,Lambang urip dhewekan,Herlambang ngrayakake Sekaten dhewekan,Herlambang bungah ing dina Sekaten karo kulawargane
Rama bingung amarga Jaka nangis,Jen biyen anak umur limang taun lagi sibuk mangan,Jebule Jaka ora sengaja nguntal wiji semangka,Dheweke wedi yen ana wit semangka ing wetenge,Rama nerangake kanthi alon yen wetenge ora bakal tuwuh wit semangka,Rama dhawuh marang Jaka supaya ngidoni wiji semangka
Meike duwe pakulinan aneh kayak wayang kulit,Kebiasaane sing aneh katon nalika dheweke nonton reog Ponorogo,Dheweke kerep nonton reog Ponorogo nganti mbukak mripate,Bengi iki Meike nonton reog Ponorogo awal,Meike banjur ora nonton reog Ponorogo lan mbukak mripate,Meike tetep nonton reog Ponorogo karo mripate mbukak
Alvi bakal ngajak Indah lungguh nang pendopo,Indah njalari Alvi lara ati,Alvi ora bisa ngalahake Indah,Alvi gusane marang Indah,Alvi wis ora ngucapake salam kanggo Indah,Indah dadi putune Alvi
Swara gamelan nggugah Edyta.,Swara kendaraan Bapak mulih saka pasar.,Edyta nyawang jam arloji sing ana ing ndhuwur warangka foto ing ruang pendopo sing dituroni.,Jam nuduhake saiki wis jam 11 bengi.,Edyta langsung mlayu mbukak lawang kanggo Bapak.,Edyta langsung mlayu menyang pawon.
Kabetahane Rendra seminggu wis dicukupi.,Dheweke mung tuku ing pasar tradisional.,Barang sing dituku bakal digawa menyang Dusun.,Ana sawetara panganan khas Jawa lan perlengkapan upacara adat.,Tas ransele Rendra katon kebak barang-barange.,Ransele Rendra warnane ijem kaya wayang kulit.
